"","ID","date","step","time","lon","lat","agesex","sex","age","m.state","m.year","sn","stepdir","st.pr","st.start","mig.init","mig.init.between"
"1","ME-2017-01",2017-11-25,191.74,2017-11-25 10:00:00,-67.2737122,45.1145363,"m_juv","m","juv","ME","2017","S","S","ME","ME",2017-11-25,2017-11-26
"2","ME-2017-02",2017-11-03,149.83,2017-11-03 22:00:00,-67.2750244,45.1139717,"f_ad","f","ad","ME","2017","S","S","ME","ME",2017-11-03,2017-11-03
"3","ME-2017-03",2017-10-30,17.06,2017-10-30 10:00:00,-68.7452011,44.9629059,"f_ad","f","ad","ME","2017","S","S","ME","ME",2017-10-30,2017-11-01
"4","ME-2017-04",2017-11-14,845.74,2017-11-14 10:00:00,-67.2840805,45.1064453,"m_juv","m","juv","ME","2017","S","S","ME","ME",2017-11-14,2017-11-19
"5","ME-2017-05",2017-11-04,645.01,2017-11-04 10:00:00,-67.2563553,45.1255951,"m_juv","m","juv","ME","2017","S","S","ME","ME",2017-11-04,2017-11-04
"6","ME-2017-06",2017-10-30,632.94,2017-10-30 10:00:00,-67.2712097,45.1151505,"m_juv","m","juv","ME","2017","S","S","ME","ME",2017-10-30,2017-11-04
