st.pr,lon,lat,age
ONT,-80.382778,48.591416,0
ONT,-80.382778,48.591416,1
QUE,-75.136223,47.636769,0
QUE,-75.136223,47.636769,1
NS,-63.351637,45.255726,0
NS,-63.351637,45.255726,1
ME,-69.20276,45.27433,0
ME,-69.20276,45.27433,1
NY,-75.59654,42.92123,0
NY,-75.59654,42.92123,1
PA,-77.83894,40.8967,0
PA,-77.83894,40.8967,1
RI,-71.52092,41.62545,0
RI,-71.52092,41.62545,1
WV,-80.61371,38.64257,0
WV,-80.61371,38.64257,1
VA,-78.66636,37.51087,0
VA,-78.66636,37.51087,1
