"","ID","date","time","lon","lat","agesex","sex","age","m.state","m.year","st.pr","st.start","lastloc","mig.term","mig.term.between"
"1","ME-2018-07",2018-12-14,2018-12-14 09:00:00,-77.6009827,34.9372559,"m_juv","m","juv","ME","2018","NC","ME","2019-01-13",2018-12-14,2018-12-14
"2","ME-2018-09",2018-12-12,2018-12-12 09:00:00,-78.3061905,33.9808121,"f_juv","f","juv","ME","2018","NC","ME","2019-01-14",2018-12-12,2018-12-12
"3","ME-2018-10",2018-12-10,2018-12-10 09:00:00,-81.9589233,34.5841522,"f_ad","f","ad","ME","2018","SC","ME","2018-12-13",2018-12-10,2018-12-10
"4","ME-2018-12",2018-11-24,2018-11-24 09:00:00,-82.3234406,32.6231918,"f_juv","f","juv","ME","2018","GA","ME","2019-01-14",2018-11-24,2018-11-24
"5","NY-2018-01",2018-11-22,2018-11-22 09:00:00,-78.6923141,35.2916107,"f_juv","f","juv","NY","2018","NC","NY","2019-01-13",2018-11-22,2018-11-22
"6","NY-2018-04",2018-11-30,2018-11-30 09:00:00,-75.0704498,39.671463,"m_juv","m","juv","NY","2018","NJ","NY","2019-01-07",2018-11-30,2018-11-30
"7","NY-2018-05",2018-11-16,2018-11-16 09:00:00,-85.3938065,31.6183929,"m_juv","m","juv","NY","2018","AL","NY","2019-01-12",2018-11-16,2018-11-17
"8","NY-2018-07",2018-12-03,2018-12-03 15:00:00,-84.3768692,34.4054146,"f_ad","f","ad","NY","2018","GA","NY","2019-01-14",2018-12-03,2018-12-03
"9","NY-2018-09",2018-11-30,2018-11-30 09:00:00,-92.7604065,33.3930893,"m_ad","m","ad","NY","2018","AR","NY","2019-01-13",2018-11-30,2018-11-30
"10","ONT-2018-02",2018-11-10,2018-11-10 15:00:00,-91.2371826,34.0327568,"f_ad","f","ad","ONT","2018","AR","ONT","2018-12-06",2018-11-10,2018-11-11
"11","PA-2018-02",2018-11-28,2018-11-28 09:00:00,-92.3991928,30.3111038,"f_ad","f","ad","PA","2018","LA","PA","2019-01-14",2018-11-28,2018-11-29
"12","PA-2018-04",2018-11-27,2018-11-27 15:00:00,-89.4375534,30.5172348,"f_juv","f","juv","PA","2018","MS","PA","2019-01-14",2018-11-27,2018-11-27
"13","PA-2018-05",2018-12-19,2018-12-19 15:00:00,-90.3871078,30.5371265,"m_ad","m","ad","PA","2018","LA","PA","2019-01-14",2018-12-19,2018-12-19
"14","PA-2018-07",2018-11-25,2018-11-25 15:00:00,-87.1736984,30.8024445,"f_ad","f","ad","PA","2018","FL","PA","2019-01-14",2018-11-25,2018-11-25
"15","PA-2018-08",2018-11-28,2018-11-28 09:00:00,-80.4358749,33.8092918,"m_ad","m","ad","PA","2018","SC","PA","2019-01-11",2018-11-28,2018-11-29
"16","PA-2018-09",2018-11-22,2018-11-22 09:00:00,-90.2907486,31.1206779,"f_ad","f","ad","PA","2018","MS","PA","2019-01-07",2018-11-22,2018-11-22
"17","QUE-2018-01",2018-11-09,2018-11-09 15:00:00,-80.5505371,34.8298874,"f_juv","f","juv","QUE","2018","NC","QUE","2019-01-14",2018-11-09,2018-11-09
"18","QUE-2018-02",2018-11-28,2018-11-28 09:00:00,-88.5509262,32.2567024,"f_ad","f","ad","QUE","2018","MS","QUE","2019-01-11",2018-11-28,2018-12-01
"19","QUE-2018-03",2018-11-14,2018-11-14 15:00:00,-93.2472992,32.2509193,"m_juv","m","juv","QUE","2018","LA","QUE","2019-01-11",2018-11-14,2018-11-15
"20","QUE-2018-04",2018-11-25,2018-11-25 15:00:00,-90.7747192,30.2544518,"f_juv","f","juv","QUE","2018","LA","QUE","2019-01-04",2018-11-25,2018-11-25
"21","QUE-2018-05",2018-12-10,2018-12-10 09:00:00,-91.7704315,31.5944328,"m_juv","m","juv","QUE","2018","LA","QUE","2019-01-14",2018-12-10,2018-12-10
"22","RI-2018-01",2018-11-09,2018-11-09 09:00:00,-74.9051743,39.4396782,"m_ad","m","ad","RI","2018","NJ","RI","2018-11-30",2018-11-09,2018-11-09
"23","RI-2018-02",2018-11-23,2018-11-23 09:00:00,-71.8041229,41.3659782,"f_ad","f","ad","RI","2018","RI","RI","2019-01-07",2018-11-23,2018-11-23
"24","RI-2018-06",2018-12-17,2018-12-17 16:00:00,-87.0847626,32.3222656,"m_ad","m","ad","RI","2018","AL","RI","2019-01-14",2018-12-17,2018-12-18
"25","RI-2018-07",2018-12-25,2018-12-25 15:00:00,-77.9690399,36.3045998,"f_ad","f","ad","RI","2018","NC","RI","2019-01-13",2018-12-25,2018-12-25
"26","RI-2018-11",2018-12-22,2018-12-22 11:00:00,-83.084938,32.3751793,"f_ad","f","ad","RI","2018","GA","RI","2019-01-13",2018-12-22,2018-12-22
"27","RI-2018-12",2018-12-11,2018-12-11 16:00:00,-80.1324921,35.3853073,"m_ad","m","ad","RI","2018","NC","RI","2019-01-14",2018-12-11,2018-12-12
"28","RI-2018-15",2018-12-11,2018-12-11 15:00:00,-81.8798447,32.0734863,"m_ad","m","ad","RI","2018","GA","RI","2019-01-14",2018-12-11,2018-12-11
"29","VA-2018-01",2018-12-07,2018-12-07 23:00:00,-82.2499237,33.3903999,"m_ad","m","ad","VA","2018","GA","VA","2019-01-11",2018-12-07,2018-12-09
