"","ID","date","step","angle","time","lon","lat","agesex","sex","age","m.state","m.year","states","minstep","sn","stepdir","st.pr","st.start","rownum","firstloc","lastloc","mig.init","mig.term","minstepdate","stop.dur","stop.num","day.diff","mig.init.between","mig.term.between"
"1","ME-2018-07",2018-11-08,136.09,0.56,2018-11-08 09:00:00,-67.2835693,45.1224709,"m_juv","m","juv","ME","2018",2,1,"S","S","ME","ME",21,"","2019-01-13",2018-11-08,NA,"2018-11-08",NA,NA,"1",2018-11-08,NA
"2","ME-2018-07",2018-11-09,0.03,-1.08,2018-11-09 15:00:00,-68.6049118,44.3397522,"m_juv","m","juv","ME","2018",2,0,"N","","ME","ME",22,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"3","ME-2018-07",2018-11-10,0.22,2.13,2018-11-10 09:00:00,-68.6052475,44.3398514,"m_juv","m","juv","ME","2018",2,0,"S","","ME","ME",23,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"4","ME-2018-07",2018-11-11,0,-0.17,2018-11-11 15:00:00,-68.6047897,44.3379059,"m_juv","m","juv","ME","2018",2,0,"S","","ME","ME",24,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"5","ME-2018-07",2018-11-12,0.21,-2.96,2018-11-12 09:00:00,-68.6047897,44.337883,"m_juv","m","juv","ME","2018",2,0,"N","","ME","ME",25,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"6","ME-2018-07",2018-11-13,434.51,2.25,2018-11-13 15:00:00,-68.6052475,44.3396988,"m_juv","m","juv","ME","2018",2,1,"S","S","ME","ME",26,"","2019-01-13",NA,NA,"2018-11-13",5,1,"2",NA,NA
"7","ME-2018-07",2018-11-15,0.03,1.52,2018-11-15 15:00:00,-72.0065155,41.33321,"m_juv","m","juv","ME","2018",2,0,"S","","CT","ME",27,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"8","ME-2018-07",2018-11-16,0.08,3.13,2018-11-16 09:00:00,-72.0062332,41.333004,"m_juv","m","juv","ME","2018",2,0,"N","","CT","ME",28,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"9","ME-2018-07",2018-11-17,1.07,2.49,2018-11-17 15:00:00,-72.0069504,41.3335419,"m_juv","m","juv","ME","2018",2,0,"S","","CT","ME",29,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"10","ME-2018-07",2018-11-18,1.36,2.5,2018-11-18 09:00:00,-72.0052643,41.3240204,"m_juv","m","juv","ME","2018",2,0,"N","",NA,"ME",30,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"11","ME-2018-07",2018-11-19,0.04,-0.22,2018-11-19 15:00:00,-71.9973221,41.3347473,"m_juv","m","juv","ME","2018",2,0,"N","","CT","ME",31,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"12","ME-2018-07",2018-11-20,183.26,2.68,2018-11-20 09:00:00,-71.9970169,41.3350029,"m_juv","m","juv","ME","2018",2,1,"S","S","CT","ME",32,"","2019-01-13",NA,NA,"2018-11-20",7,2,"1",NA,NA
"13","ME-2018-07",2018-11-21,9.53,-0.51,2018-11-21 15:00:00,-74.0142212,40.7110291,"m_juv","m","juv","ME","2018",2,0,"N","","NY","ME",33,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"14","ME-2018-07",2018-11-22,0.23,-0.27,2018-11-22 09:00:00,-74.1260452,40.72229,"m_juv","m","juv","ME","2018",2,0,"N","","NJ","ME",34,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"15","ME-2018-07",2018-11-23,0.2,0.85,2018-11-23 15:00:00,-74.1285248,40.7230835,"m_juv","m","juv","ME","2018",2,0,"S","","NJ","ME",35,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"16","ME-2018-07",2018-11-24,0.03,-2.2,2018-11-24 09:00:00,-74.1306229,40.7223167,"m_juv","m","juv","ME","2018",2,0,"N","","NJ","ME",36,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"17","ME-2018-07",2018-11-25,68.38,-0.22,2018-11-25 15:00:00,-74.1305466,40.7226257,"m_juv","m","juv","ME","2018",2,1,"N","N","NJ","ME",37,"","2019-01-13",NA,NA,"2018-11-25",5,3,"2",NA,NA
"18","ME-2018-07",2018-11-27,1.43,1.23,2018-11-27 15:00:00,-73.8062439,41.2871819,"m_juv","m","juv","ME","2018",2,0,"N","","NY","ME",38,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"19","ME-2018-07",2018-11-28,0.08,2.45,2018-11-28 09:00:00,-73.8187866,41.2959633,"m_juv","m","juv","ME","2018",2,0,"S","","NY","ME",39,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"20","ME-2018-07",2018-11-29,0.11,-0.03,2018-11-29 15:00:00,-73.8186646,41.2952461,"m_juv","m","juv","ME","2018",2,0,"S","","NY","ME",40,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"21","ME-2018-07",2018-11-30,0.12,3.14,2018-11-30 09:00:00,-73.8185349,41.29422,"m_juv","m","juv","ME","2018",2,0,"N","","NY","ME",41,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"22","ME-2018-07",2018-12-01,0,-0.8,2018-12-01 15:00:00,-73.8186646,41.2952957,"m_juv","m","juv","ME","2018",2,0,"N","","NY","ME",42,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"23","ME-2018-07",2018-12-02,0.01,-1.78,2018-12-02 09:00:00,-73.818634,41.2953224,"m_juv","m","juv","ME","2018",2,0,"S","","NY","ME",43,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
"24","ME-2018-07",2018-12-03,0.1,-0.84,2018-12-03 15:00:00,-73.8185577,41.2952461,"m_juv","m","juv","ME","2018",2,0,"S","","NY","ME",44,"","2019-01-13",NA,NA,"",NA,NA,"1",NA,NA
