"","ID","date","time","lon","lat","agesex","sex","age","m.state","m.year","st.pr","st.start","lastloc","mig.term","mig.term.between"
"1","ME-2017-02",2017-11-11,2017-11-11 16:00:00,-78.0985489,35.8937988,"f_ad","f","ad","ME","2017","NC","ME","2018-01-12",2017-11-11,2017-11-11
"2","ME-2017-03",2017-11-09,2017-11-09 22:00:00,-77.0624161,39.0187645,"f_ad","f","ad","ME","2017","MD","ME","2017-12-14",2017-11-09,2017-11-11
"3","ME-2017-06",2017-12-09,2017-12-09 22:00:00,-86.7399292,31.0217609,"m_juv","m","juv","ME","2017","AL","ME","2018-01-13",2017-12-09,2017-12-14
