"","ID","date","step","angle","time","lon","lat","agesex","sex","age","m.state","m.year","states","minstep","sn","stepdir","st.pr","st.start","rownum","firstloc","lastloc","mig.init","mig.term","minstepdate","stop.dur","stop.num","day.diff","mig.init.between","mig.term.between"
"1","ME-2017-01",2017-11-25,191.74,-1.5,2017-11-25 10:00:00,-67.2737122,45.1145363,"m_juv","m","juv","ME","2017",2,1,"S","S","ME","ME",31,"","2017-11-29",2017-11-25,NA,"2017-11-25",NA,NA,"2",2017-11-26,NA
"2","ME-2017-01",2017-11-27,360.87,0.18,2017-11-27 22:00:00,-69.2950363,44.1684875,"m_juv","m","juv","ME","2017",2,1,"S","S","ME","ME",32,"","2017-11-29",NA,NA,"2017-11-27",2,1,"1",NA,NA
"3","ME-2017-01",2017-11-28,2.68,-0.02,2017-11-28 10:00:00,-72.4973679,41.9237747,"m_juv","m","juv","ME","2017",2,0,"S","","CT","ME",33,"","2017-11-29",NA,NA,"",NA,NA,"1",NA,NA
"4","ME-2017-01",2017-11-29,NA,NA,2017-11-29 16:00:00,-72.5215607,41.9078255,"m_juv","m","juv","ME","2017",2,NA,"N","","CT","ME",34,"","2017-11-29",NA,NA,NA,NA,NA,NA,NA,NA
"5","ME-2017-02",2017-11-03,149.83,-3.12,2017-11-03 22:00:00,-67.2750244,45.1139717,"f_ad","f","ad","ME","2017",2,1,"S","S","ME","ME",17,"","2018-01-12",2017-11-03,NA,"2017-11-03",NA,NA,"1",2017-11-03,NA
"6","ME-2017-02",2017-11-04,547.89,-0.08,2017-11-04 10:00:00,-68.9771118,44.5221252,"f_ad","f","ad","ME","2017",2,1,"S","S","ME","ME",18,"","2018-01-12",NA,NA,"2017-11-04",1,1,"1",NA,NA
"7","ME-2017-02",2017-11-05,32.25,0.99,2017-11-05 16:00:00,-75.2098923,42.5770378,"f_ad","f","ad","ME","2017",2,1,"S","S","NY","ME",19,"","2018-01-12",NA,NA,"2017-11-05",1,2,"1",NA,NA
"8","ME-2017-02",2017-11-06,598.63,-0.16,2017-11-06 22:00:00,-75.2909927,42.2929802,"f_ad","f","ad","ME","2017",2,1,"S","S","NY","ME",20,"","2018-01-12",NA,NA,"2017-11-06",1,3,"1",NA,NA
"9","ME-2017-02",2017-11-07,72.44,0.72,2017-11-07 10:00:00,-77.7477493,37.245018,"f_ad","f","ad","ME","2017",2,1,"S","S","VA","ME",21,"","2018-01-12",NA,NA,"2017-11-07",1,4,"2",NA,NA
"10","ME-2017-02",2017-11-09,88.36,-0.88,2017-11-09 22:00:00,-77.469017,36.6317711,"f_ad","f","ad","ME","2017",2,1,"S","S","VA","ME",22,"","2018-01-12",NA,NA,"2017-11-09",2,5,"1",NA,NA
"11","ME-2017-02",2017-11-10,13.38,-0.62,2017-11-10 10:00:00,-77.9634781,35.9434128,"f_ad","f","ad","ME","2017",2,1,"S","S","NC","ME",23,"","2018-01-12",NA,NA,"2017-11-10",1,6,"1",NA,NA
"12","ME-2017-03",2017-10-30,17.06,2.02,2017-10-30 10:00:00,-68.7452011,44.9629059,"f_ad","f","ad","ME","2017",2,1,"S","S","ME","ME",3,"","2017-12-14",2017-10-30,NA,"2017-10-30",NA,NA,"5",2017-11-01,NA
"13","ME-2017-03",2017-11-04,947.62,-1.23,2017-11-04 16:00:00,-68.6697617,44.8190346,"f_ad","f","ad","ME","2017",2,1,"S","S","ME","ME",4,"","2017-12-14",NA,NA,"2017-11-04",5,1,"5",NA,NA
"14","ME-2017-04",2017-11-14,845.74,1.96,2017-11-14 10:00:00,-67.2840805,45.1064453,"m_juv","m","juv","ME","2017",2,1,"S","S","ME","ME",7,"","2017-12-19",2017-11-14,NA,"2017-11-14",NA,NA,"10",2017-11-19,NA
"15","ME-2017-05",2017-11-04,645.01,-3.12,2017-11-04 10:00:00,-67.2563553,45.1255951,"m_juv","m","juv","ME","2017",2,1,"S","S","ME","ME",18,"","2017-11-15",2017-11-04,NA,"2017-11-04",NA,NA,"1",2017-11-04,NA
"16","ME-2017-05",2017-11-05,11.39,0.98,2017-11-05 16:00:00,-74.6393204,42.8224373,"m_juv","m","juv","ME","2017",2,0,"S","","NY","ME",19,"","2017-11-15",NA,NA,"",NA,NA,"1",NA,NA
"17","ME-2017-05",2017-11-06,528.89,-0.5,2017-11-06 22:00:00,-74.6703491,42.7224464,"m_juv","m","juv","ME","2017",2,1,"S","S","NY","ME",20,"","2017-11-15",NA,NA,"2017-11-06",2,1,"1",NA,NA
"18","ME-2017-05",2017-11-07,0.02,2.42,2017-11-07 10:00:00,-78.7204514,39.0823021,"m_juv","m","juv","ME","2017",2,0,"N","","WV","ME",21,"","2017-11-15",NA,NA,"",NA,NA,"1",NA,NA
"19","ME-2017-05",2017-11-08,605.83,-2.47,2017-11-08 16:00:00,-78.7201691,39.0823288,"m_juv","m","juv","ME","2017",2,1,"S","S","WV","ME",22,"","2017-11-15",NA,NA,"2017-11-08",2,2,"4",NA,NA
"20","ME-2017-06",2017-10-30,632.94,2.24,2017-10-30 10:00:00,-67.2712097,45.1151505,"m_juv","m","juv","ME","2017",2,1,"S","S","ME","ME",4,"","2018-01-13",2017-10-30,NA,"2017-10-30",NA,NA,"10",2017-11-04,NA
"21","ME-2017-06",2017-11-09,0.2,1.93,2017-11-09 22:00:00,-75.1678314,44.2583427,"m_juv","m","juv","ME","2017",2,0,"S","","NY","ME",5,"","2018-01-13",NA,NA,"",NA,NA,"5",NA,NA
"22","ME-2017-06",2017-11-14,521.38,-0.86,2017-11-14 10:00:00,-75.1667099,44.2567291,"m_juv","m","juv","ME","2017",2,1,"S","S","NY","ME",6,"","2018-01-13",NA,NA,"2017-11-14",15,1,"5",NA,NA
"23","ME-2017-06",2017-11-19,1291.2,-0.36,2017-11-19 16:00:00,-77.5187302,39.9014778,"m_juv","m","juv","ME","2017",2,1,"S","S","PA","ME",7,"","2018-01-13",NA,NA,"2017-11-19",5,2,"20",NA,NA
