"","ID","date","step","time","lon","lat","agesex","sex","age","m.state","m.year","sn","stepdir","st.pr","st.start","mig.init","mig.init.between"
"1","MD-2019-04",2019-02-27,59.2,2019-02-27 09:00:00,-75.9212418,38.4246407,"m_ad","m","ad","MD","2019","N","N","MD","MD",2019-02-27,2019-02-28
"2","MD-2019-05",2019-03-11,219.33,2019-03-11 14:00:00,-75.9244385,38.4252014,"m_ad","m","ad","MD","2019","N","N","MD","MD",2019-03-11,2019-03-12
"3","MD-2019-06",2019-03-13,92.29,2019-03-13 08:00:00,-75.9222641,38.4265862,"f_ad","f","ad","MD","2019","N","N","MD","MD",2019-03-13,2019-03-13
"4","MD-2019-08",2019-02-24,171.13,2019-02-24 15:00:00,-75.9244156,38.4239998,"m_ad","m","ad","MD","2019","N","N","MD","MD",2019-02-24,2019-02-24
"5","MD-2019-09",2019-03-29,2.03,2019-03-29 08:00:00,-75.9227753,38.4714355,"f_ad","f","ad","MD","2019","N","","MD","MD",2019-03-29,2019-03-29
"6","ME-2018-13",2019-02-04,161.99,2019-02-04 09:00:00,-77.8023834,36.3337097,"f_ad","f","ad","ME","2018","N","N","NC","NC",2019-02-04,2019-02-07
"7","NC-2019-01",2019-03-13,567.18,2019-03-13 08:00:00,-78.8065186,36.1069946,"m_juv","m","juv","NC","2019","N","N","NC","NC",2019-03-13,2019-03-14
"8","NC-2019-02",2019-02-25,1.65,2019-02-25 09:00:00,-78.8136826,36.1299858,"m_juv","m","juv","NC","2019","N","","NC","NC",2019-02-25,2019-02-25
"9","NC-2019-03",2019-03-13,749.95,2019-03-13 08:00:00,-78.8190842,36.1299324,"m_ad","m","ad","NC","2019","N","N","NC","NC",2019-03-13,2019-03-14
"10","NC-2019-04",2019-03-28,491.36,2019-03-28 14:00:00,-78.8039017,36.0965004,"f_ad","f","ad","NC","2019","N","N","NC","NC",2019-03-28,2019-03-28
"11","NJ-2018-02",2019-03-13,406.58,2019-03-13 08:00:00,-74.9430389,38.9376907,"m_juv","m","juv","NJ","2018","N","N",NA,NA,2019-03-13,2019-03-14
"12","NJ-2018-04",2019-02-23,228.1,2019-02-23 15:00:00,-78.2725983,35.1050606,"m_juv","m","juv","NJ","2018","N","N","NC","NC",2019-02-23,2019-02-24
"13","NJ-2018-08",2019-02-24,2.68,2019-02-24 09:00:00,-77.9747696,34.9089165,"f_juv","f","juv","NJ","2018","N","","NC","NC",2019-02-24,2019-02-24
"14","NJ-2018-10",2019-03-12,284.73,2019-03-12 08:00:00,-77.0338669,36.703373,"f_juv","f","juv","NJ","2018","N","N","VA","VA",2019-03-12,2019-03-13
"15","NJ-2018-12",2019-03-14,353.4,2019-03-14 08:00:00,-74.9108887,38.9818001,"f_juv","f","juv","NJ","2018","N","N","NJ","NJ",2019-03-14,2019-03-14
"16","NJ-2018-15",2019-02-15,57.44,2019-02-15 15:00:00,-75.8316422,37.9740028,"f_juv","f","juv","NJ","2018","N","N",NA,NA,2019-02-15,2019-02-17
"17","PA-2018-02",2019-03-06,5.2,2019-03-06 15:00:00,-92.4025192,30.3163528,"f_ad","f","ad","PA","2018","N","","LA","LA",2019-03-06,2019-03-07
"18","PA-2018-04",2019-02-14,264.47,2019-02-14 09:00:00,-89.4375076,30.5183868,"f_juv","f","juv","PA","2018","N","N","MS","MS",2019-02-14,2019-02-18
"19","PA-2018-08",2019-03-12,906.82,2019-03-12 08:00:00,-80.4284515,33.8028412,"m_ad","m","ad","PA","2018","N","N","SC","SC",2019-03-12,2019-03-14
"20","PA-2018-09",2019-02-14,558.77,2019-02-14 09:00:00,-90.2920609,31.1203461,"f_ad","f","ad","PA","2018","N","N","MS","MS",2019-02-14,2019-02-15
"21","QUE-2018-02",2019-02-20,438.98,2019-02-20 22:00:00,-88.5484924,32.2528114,"f_ad","f","ad","QUE","2018","N","N","MS","MS",2019-02-20,2019-02-22
"22","QUE-2018-03",2019-02-25,809.49,2019-02-25 09:00:00,-93.2455063,32.2448502,"m_juv","m","juv","QUE","2018","N","N","LA","LA",2019-02-25,2019-02-27
"23","RI-2018-06",2019-01-22,308.16,2019-01-22 16:00:00,-87.084404,32.3225479,"m_ad","m","ad","RI","2018","N","N","AL","AL",2019-01-22,2019-01-23
"24","RI-2018-07",2019-03-22,303.36,2019-03-22 11:00:00,-77.9718018,36.3050117,"f_ad","f","ad","RI","2018","N","N","NC","NC",2019-03-22,2019-03-24
"25","RI-2018-11",2019-02-20,102.3,2019-02-20 12:00:00,-83.0802307,32.3696785,"f_ad","f","ad","RI","2018","N","N","GA","GA",2019-02-20,2019-02-21
"26","RI-2018-12",2019-01-18,238.12,2019-01-18 08:00:00,-80.1224823,35.3778305,"m_ad","m","ad","RI","2018","N","N","NC","NC",2019-01-18,2019-01-19
"27","SC-2019-02",2019-03-09,151.37,2019-03-09 08:00:00,-81.3196945,32.6164589,"f_juv","f","juv","SC","2019","N","N","SC","SC",2019-03-09,2019-03-09
"28","SC-2019-03",2019-03-09,179.17,2019-03-09 08:00:00,-81.3026657,32.5790062,"f_ad","f","ad","SC","2019","N","N","SC","SC",2019-03-09,2019-03-09
"29","SC-2019-04",2019-03-12,187.98,2019-03-12 14:00:00,-81.3241501,32.6106224,"f_ad","f","ad","SC","2019","N","N","SC","SC",2019-03-12,2019-03-12
"30","SC-2019-05",2019-03-13,416.51,2019-03-13 08:00:00,-81.3277817,32.598568,"m_juv","m","juv","SC","2019","N","N","SC","SC",2019-03-13,2019-03-14
"31","SC-2019-06",2019-03-13,757.23,2019-03-13 08:00:00,-81.3037415,32.5712242,"m_juv","m","juv","SC","2019","N","N","SC","SC",2019-03-13,2019-03-13
"32","SC-2019-07",2019-02-26,275.04,2019-02-26 09:00:00,-81.3236618,32.5954933,"f_juv","f","juv","SC","2019","N","N","SC","SC",2019-02-26,2019-02-26
"33","SC-2019-08",2019-03-08,169.51,2019-03-08 15:00:00,-81.3128586,32.6145134,"f_juv","f","juv","SC","2019","N","N","SC","SC",2019-03-08,2019-03-08
"34","SC-2019-09",2019-02-26,623.34,2019-02-26 09:00:00,-81.3132401,32.6175346,"f_juv","f","juv","SC","2019","N","N","SC","SC",2019-02-26,2019-02-26
"35","VA-2018-01",2019-01-31,180.89,2019-01-31 16:00:00,-79.9311752,36.5660286,"m_ad","m","ad","VA","2018","N","N","VA","VA",2019-01-31,2019-02-02
"36","VA-2019-11",2019-04-04,304.03,2019-04-04 14:00:00,-77.0137482,37.434227,"m_juv","m","juv","VA","2019","N","N","VA","VA",2019-04-04,2019-04-05
"37","VA-2019-14",2019-03-19,557.82,2019-03-19 14:00:00,-76.7834473,37.4585228,"m_juv","m","juv","VA","2019","N","N","VA","VA",2019-03-19,2019-03-20
"38","VA-2019-15",2019-03-11,500.3,2019-03-11 14:00:00,-76.8929672,37.3143692,"m_juv","m","juv","VA","2019","N","N","VA","VA",2019-03-11,2019-03-12
"39","VA-2019-18",2019-03-11,84.95,2019-03-11 08:00:00,-75.9657822,37.1251335,"_","","","VA","2019","N","N",NA,"VA",2019-03-11,2019-03-11
